,config,score
82,"[(1, 0, 1), (0, 1, 1, 24), 'n']",1.1171878826294617
83,"[(0, 1, 0), (1, 1, 2, 24), 'ct']",1.1177285621466393
84,"[(2, 1, 0), (0, 1, 2, 24), 'c']",1.1178428506461933
85,"[(0, 1, 0), (1, 1, 1, 24), 'c']",1.1179721674342953
86,"[(1, 0, 0), (0, 1, 2, 24), 'n']",1.118401137885197
87,"[(2, 1, 1), (0, 1, 1, 24), 'n']",1.1192612091420586
88,"[(1, 1, 2), (0, 1, 2, 24), 't']",1.1195956709711539
89,"[(2, 0, 1), (1, 1, 2, 24), 'ct']",1.119908605937664
90,"[(1, 1, 0), (0, 1, 1, 24), 'n']",1.1201709760710719
91,"[(0, 1, 0), (1, 1, 1, 24), 'n']",1.1203143872464612
92,"[(0, 1, 0), (0, 1, 1, 24), 'c']",1.1205584026424553
93,"[(1, 0, 0), (1, 1, 1, 24), 'c']",1.120846432599702
94,"[(2, 1, 2), (0, 1, 2, 24), 'c']",1.121245200326308
95,"[(2, 1, 1), (1, 1, 1, 24), 'n']",1.1212982990924025
96,"[(2, 0, 0), (0, 1, 2, 24), 'n']",1.1213358135662157
97,"[(0, 1, 2), (1, 1, 2, 24), 't']",1.121360692740175
98,"[(2, 0, 1), (0, 1, 1, 24), 'ct']",1.1213987636034455
99,"[(1, 1, 0), (0, 1, 2, 24), 't']",1.1216213304463893
100,"[(2, 1, 0), (0, 1, 2, 24), 't']",1.1219905711680995
101,"[(2, 0, 0), (0, 1, 1, 24), 't']",1.1221818499424765
102,"[(2, 0, 1), (1, 1, 1, 24), 'ct']",1.1231142213044518
103,"[(1, 1, 2), (1, 1, 2, 24), 'n']",1.1236603873990363
104,"[(2, 0, 2), (0, 1, 2, 24), 't']",1.123682473667669
105,"[(2, 0, 1), (0, 1, 1, 24), 'c']",1.1237163008449815
106,"[(1, 0, 2), (0, 1, 2, 24), 'c']",1.124292950812709
107,"[(1, 1, 1), (1, 1, 1, 24), 'n']",1.1244907364545325
108,"[(0, 1, 2), (1, 1, 2, 24), 'ct']",1.124721595963963
109,"[(2, 1, 2), (1, 1, 2, 24), 'c']",1.1247287830324528
110,"[(0, 1, 1), (1, 1, 2, 24), 'ct']",1.1251201418437586
111,"[(1, 0, 0), (0, 1, 1, 24), 't']",1.125414979165082
112,"[(0, 1, 0), (0, 1, 1, 24), 't']",1.1255826315274724
