,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
385,KLNL0,1031,KLNL0,Land O Lakes / Land O' Lakes,US,WI,,KLNL,46.154,-89.2121,520.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-24,2009-01-01,2022-01-01,383.7698402883548
149,74455,1031,74455,"Davenport, Ia.",US,IA,74455.0,KDVN,41.6167,-90.5833,229.0,America/Chicago,2005-01-01,2022-09-22,2005-01-01,2022-04-25,2006-01-01,2022-01-01,354.83049774770177
477,KPVB0,1026,KPVB0,Platteville / Ipswich,US,WI,,KPVB,42.6894,-90.4444,312.0,America/Chicago,2008-08-25,2022-09-22,2008-08-27,2022-04-24,2015-01-01,2022-01-01,343.80551761190543
360,KIFA0,1026,KIFA0,Iowa Falls / Racine,US,IA,,KIFA,42.4708,-93.27,347.0,America/Chicago,2007-10-16,2022-09-22,2007-10-19,2022-04-24,2014-01-01,2022-01-01,487.6977793605343
125,72640,1024,72640,Gen Mitchell International Airport,US,WI,72640.0,KMKE,42.955,-87.9044,211.0,America/Chicago,1948-01-01,2022-09-22,1938-04-01,2022-09-14,1938-01-01,2022-01-01,218.022785265965
472,KPNT0,1024,KPNT0,Pontiac / Cayuga,US,IL,,KPNT,40.9244,-88.6239,203.0,America/Chicago,2006-09-26,2022-09-22,2011-03-18,2022-04-24,2015-01-01,2022-01-01,268.175427890862
362,KIIB0,1022,KIIB0,Independence / Pine Ridge Mobile Home Court,US,IA,,KIIB,42.4569,-91.9477,298.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,420.1444512110618
19,71270,1022,71270,Collingwood,CA,ON,71270.0,CWCO,44.5,-80.22,180.0,America/Toronto,1994-12-01,2022-09-22,1994-12-30,2022-09-18,1995-01-01,2022-01-01,237.11643024214183
283,KDPA0,1021,KDPA0,Chicago / Surrey Woods,US,IL,,KDPA,41.9069,-88.2482,231.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2021-01-01,232.5606489374832
369,KIRS0,1019,KIRS0,Sturgis,US,MI,,KIRS,41.8133,-85.4389,282.0,America/Detroit,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,91.61881348512748
470,KPMV0,1019,KPMV0,Plattsmouth / Mynard,US,NE,,KPMV,40.9484,-95.9174,367.0,America/Chicago,2006-11-21,2022-09-22,2006-11-22,2022-04-24,2009-01-01,2022-01-01,636.2083673390464
158,9M4XD,1018,9M4XD,Sault Ste. Marie Airport,CA,ON,73070.0,,46.48,-84.52,187.0,America/Toronto,2020-01-01,2022-09-21,2019-02-09,2022-09-20,2019-01-01,2022-01-01,296.4186378630099
281,KDNS0,1015,KDNS0,Denison / Kimze,US,IA,,KDNS,41.9866,-95.3805,388.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2014-01-01,2022-01-01,597.7517609491673
5,20QWH,1014,20QWH,Rennie,CA,MB,,,49.85,-95.53,323.0,America/Winnipeg,,,2000-01-01,2022-09-15,2000-01-01,2009-01-01,772.1467890298829
467,KPKD0,1014,KPKD0,Park Rapids,US,MN,,KPKD,46.9007,-95.0731,440.0,America/Chicago,1990-01-11,2022-09-22,1995-07-05,2022-04-24,1998-01-01,2022-01-01,644.845503646951
25,71299,1014,71299,Kapuskasing CDA On,CA,ON,71299.0,CXKA,49.41,-82.44,218.0,America/Nipigon,2003-06-17,2022-09-22,2000-08-23,2022-09-18,2000-01-01,2022-01-01,500.3293995447527
267,KCSQ0,1014,KCSQ0,Creston / Country Court Mobile Home Park,US,IA,,KCSQ,41.0214,-94.3633,396.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2011-01-01,2022-01-01,555.6728280043633
257,KCKC0,1013,KCKC0,Grand Marais / Pine Mountain Trailer Court,US,MN,,KCKC,47.8383,-90.3829,548.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,505.5601840605274
