,station,total,id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,milesfromstat
366,KIMT0,1721,KIMT0,Iron Mountain,US,MI,,KIMT,45.8184,-88.1146,360.0,America/Menominee,2006-01-01,2022-09-22,2006-01-01,2022-04-24,2006-01-01,2022-01-01,330.0429528848237
572,XM44W,1715,XM44W,Marathon Airport,CA,ON,,,48.76,-86.35,315.0,America/Toronto,2020-01-01,2022-09-21,2018-10-29,2022-09-18,2018-01-01,2022-01-01,468.7568911227198
383,KLDM0,1702,KLDM0,Ludington / Hidden Forest Mobile Home Park,US,MI,,KLDM,43.9625,-86.4079,197.0,America/Detroit,2005-01-01,2022-09-22,2005-01-01,2022-04-24,2006-01-01,2022-01-01,180.4255687547471
307,KFCM0,1698,KFCM0,Minneapolis / Eden Prairie,US,MN,,KFCM,44.8275,-93.4586,276.0,America/Chicago,2006-01-01,2022-09-22,2006-01-02,2022-04-24,2006-01-01,2022-01-01,519.587111338442
357,KI750,1693,KI750,Osceola,US,IA,,KI75,41.0522,-93.6897,340.0,America/Chicago,2010-03-04,2022-09-22,2010-03-04,2022-04-24,2011-01-01,2022-01-01,520.817426569003
105,72543,1691,72543,Greater Rockford Airport,US,IL,72543.0,KRFD,42.2,-89.1,224.0,America/Chicago,1973-01-01,2022-09-22,1951-01-01,2022-09-14,1951-01-01,2022-01-01,274.6950343634056
376,KJVL0,1686,KJVL0,Janesville / Afton,US,WI,,KJVL,42.6202,-89.0416,246.0,America/Chicago,2006-01-01,2022-09-22,2020-01-14,2022-04-24,2020-01-01,2022-01-01,272.1751936364928
97,72534,1673,72534,Chicago Midway Airport,US,IL,72534.0,KMDW,41.7833,-87.75,189.0,America/Chicago,1973-01-01,2022-09-22,1928-02-29,2022-09-13,1928-01-01,2022-01-01,208.3421542269787
96,72533,1672,72533,Fort Wayne International,US,IN,72533.0,KFWA,41.0,-85.0333,248.0,America/Indiana/Indianapolis,1941-11-01,2022-09-22,1939-08-01,2022-09-14,1939-01-01,2022-01-01,107.5698973681924
118,72628,1669,72628,K. I. Sawyer Air Force Base,US,MI,72628.0,KSAW,46.34,-87.38,372.0,America/Detroit,2006-01-01,2022-09-22,2006-01-04,2022-04-25,2020-01-01,2022-01-01,336.51496523759056
95,72532,1663,72532,Greater Peoria Regional Airport,US,IL,72532.0,KPIA,40.6667,-89.6839,201.0,America/Chicago,1973-01-01,2022-09-22,1943-05-04,2022-09-14,1943-01-01,2022-01-01,326.434921900874
60,71667,1639,71667,Thunder Bay CS,CA,ON,71667.0,CZTB,48.37,-89.33,199.0,America/Thunder_Bay,2005-01-01,2022-09-22,2003-10-01,2022-09-15,2003-01-01,2022-01-01,503.9469732904038
361,KIGQ0,1632,KIGQ0,Chicago / Lynwood,US,IL,,KIGQ,41.5349,-87.5295,189.0,America/Chicago,2006-01-02,2022-09-22,2011-03-17,2022-04-24,2014-01-01,2022-01-01,200.84353000868003
382,KLCG0,1619,KLCG0,Wayne,US,NE,,KLCG,42.2416,-96.9823,436.0,America/Chicago,2006-01-01,2022-09-22,2006-01-04,2022-04-19,2009-01-01,2022-01-01,678.2727876708343
308,KFDY0,1617,KFDY0,Findlay / West Park,US,OH,,KFDY,41.012,-83.6686,248.0,America/New_York,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2000-01-01,2022-01-01,83.66996925652992
111,72549,1615,72549,Fort Dodge,US,IA,72549.0,KFOD,42.55,-94.1833,354.0,America/Chicago,2006-01-01,2022-09-22,2006-01-01,2022-04-25,2006-01-01,2022-01-01,534.2184160940607
45,71559,1592,71559,Terrace Bay,CA,ON,,CYTJ,48.8167,-87.1,290.0,America/Nipigon,1982-08-06,2022-08-24,2011-11-28,2022-09-18,2011-01-01,2022-01-01,483.4785124272933
48,71573,1590,71573,Delhi CS,CA,ON,71573.0,CXDI,42.87,-80.55,232.0,America/Toronto,2001-09-16,2022-09-22,1997-06-02,2022-09-18,1997-01-01,2022-01-01,169.08914727233378
375,KJMS0,1589,KJMS0,Jamestown,US,ND,,KJMS,46.9297,-98.6782,457.0,America/Chicago,1973-01-01,2022-09-22,1973-01-01,2022-04-24,2000-01-01,2022-01-01,803.7566281212584
107,72545,1586,72545,Cedar Rapids / Konigsmark,US,IA,72545.0,KCID,41.8851,-91.7123,265.0,America/Chicago,1973-01-01,2022-09-22,1953-06-01,2022-09-14,1953-01-01,2022-01-01,410.300056120137
98,72535,1579,72535,South Bend Regional Airport,US,IN,72535.0,KSBN,41.7,-86.3167,244.0,America/Indiana/Indianapolis,1973-01-01,2022-09-22,1893-12-01,2022-09-14,1893-01-01,2022-01-01,137.26715696675956
108,72546,1578,72546,Des Moines International,US,IA,72546.0,KDSM,41.5333,-93.6531,292.0,America/Chicago,1973-01-01,2022-09-22,1945-07-01,2022-09-14,1945-01-01,2022-01-01,512.9394078805907
58,71655,1572,71655,Rawson Lake / Hawk Lake,CA,ON,,CTRA,49.6642,-93.7328,435.0,America/Rainy_River,2009-09-23,2022-09-22,2009-09-24,2022-04-26,2009-01-01,2021-01-01,702.857994558957
