time,temp
2022-09-01 00:00:00,19.827672490277894
2022-09-01 01:00:00,17.118040639933096
2022-09-01 02:00:00,15.294497906401658
2022-09-01 03:00:00,14.83239292627005
2022-09-01 04:00:00,13.966539610169246
2022-09-01 05:00:00,13.835012143923322
2022-09-01 06:00:00,13.541289586520614
2022-09-01 07:00:00,13.243143378254217
2022-09-01 08:00:00,13.036548768576305
2022-09-01 09:00:00,12.807190494754883
2022-09-01 10:00:00,12.730630266160018
2022-09-01 11:00:00,12.894433937752995
2022-09-01 12:00:00,14.52111768420707
2022-09-01 13:00:00,17.471078702373322
2022-09-01 14:00:00,19.383825445511
2022-09-01 15:00:00,21.125222243220115
2022-09-01 16:00:00,21.978186468208342
2022-09-01 17:00:00,23.076580603717332
2022-09-01 18:00:00,23.58236677541188
2022-09-01 19:00:00,23.5225390892287
2022-09-01 20:00:00,23.844388078416326
2022-09-01 21:00:00,23.805466270494954
2022-09-01 22:00:00,23.56542907916284
2022-09-01 23:00:00,22.62046572362622
2022-09-02 00:00:00,20.908373346454486
2022-09-02 01:00:00,18.53480018553764
2022-09-02 02:00:00,16.338775367311513
2022-09-02 03:00:00,15.256741974034114
2022-09-02 04:00:00,14.903129991040768
2022-09-02 05:00:00,14.837508634571133
2022-09-02 06:00:00,14.777605187745998
2022-09-02 07:00:00,14.294610289255154
2022-09-02 08:00:00,13.8211198072167
2022-09-02 09:00:00,13.909732439566108
2022-09-02 10:00:00,13.84955966209877
2022-09-02 11:00:00,14.485370552983232
2022-09-02 12:00:00,16.43875421131186
2022-09-02 13:00:00,19.062612369784645
2022-09-02 14:00:00,22.420144141975282
2022-09-02 15:00:00,24.772607234032787
2022-09-02 16:00:00,25.90742400263823
2022-09-02 17:00:00,26.946570556853814
2022-09-02 18:00:00,27.755988821142473
2022-09-02 19:00:00,28.083872111008063
2022-09-02 20:00:00,27.951784583344363
2022-09-02 21:00:00,27.976090696093237
2022-09-02 22:00:00,27.856750516352783
2022-09-02 23:00:00,26.157756035437522
2022-09-03 00:00:00,24.211279224732827
2022-09-03 01:00:00,21.90456152802679
2022-09-03 02:00:00,20.713967410486028
2022-09-03 03:00:00,19.93396246483661
2022-09-03 04:00:00,19.52791219494685
2022-09-03 05:00:00,19.173232302498796
2022-09-03 06:00:00,18.659407126562797
2022-09-03 07:00:00,18.00266146981493
2022-09-03 08:00:00,17.434479200025436
2022-09-03 09:00:00,17.528121366076217
2022-09-03 10:00:00,17.174645511786867
2022-09-03 11:00:00,17.56512273751552
2022-09-03 12:00:00,18.540190977493765
2022-09-03 13:00:00,21.07957947373528
2022-09-03 14:00:00,23.433385960240415
2022-09-03 15:00:00,24.812222764221275
2022-09-03 16:00:00,25.81102696671477
2022-09-03 17:00:00,26.45419322653327
2022-09-03 18:00:00,26.982113500515055
2022-09-03 19:00:00,27.412324341908786
2022-09-03 20:00:00,27.02450767331144
2022-09-03 21:00:00,26.926993442793723
2022-09-03 22:00:00,26.445076046158526
2022-09-03 23:00:00,24.952450694726465
2022-09-04 00:00:00,22.994089726977982
2022-09-04 01:00:00,21.557196591646125
2022-09-04 02:00:00,19.47487208502494
2022-09-04 03:00:00,18.173933616855628
2022-09-04 04:00:00,17.440375134627963
2022-09-04 05:00:00,16.512819534512815
2022-09-04 06:00:00,16.212461051552474
2022-09-04 07:00:00,15.611108539671692
2022-09-04 08:00:00,15.193247868764253
2022-09-04 09:00:00,14.708521797070432
2022-09-04 10:00:00,14.521370281111295
2022-09-04 11:00:00,14.60859248114385
2022-09-04 12:00:00,15.22069705033314
2022-09-04 13:00:00,17.148592547539664
2022-09-04 14:00:00,18.88325966393401
2022-09-04 15:00:00,20.11670957285293
2022-09-04 16:00:00,21.384284878861408
2022-09-04 17:00:00,21.93724817365116
2022-09-04 18:00:00,22.303334030024644
2022-09-04 19:00:00,22.703550469010267
2022-09-04 20:00:00,22.54649763207547
2022-09-04 21:00:00,22.456458049407352
2022-09-04 22:00:00,22.2987334931216
2022-09-04 23:00:00,20.93461204546241
2022-09-05 00:00:00,18.99818533334991
2022-09-05 01:00:00,17.59538424541367
2022-09-05 02:00:00,16.30498654963739
2022-09-05 03:00:00,15.235848492683312
2022-09-05 04:00:00,14.773038262415298
2022-09-05 05:00:00,14.40077715288744
2022-09-05 06:00:00,13.988836840070288
2022-09-05 07:00:00,13.722371823857388
2022-09-05 08:00:00,13.814924088162494
2022-09-05 09:00:00,13.62417362600201
2022-09-05 10:00:00,13.62370303772437
2022-09-05 11:00:00,13.863742533700348
2022-09-05 12:00:00,14.675231066896409
2022-09-05 13:00:00,15.94982581473231
2022-09-05 14:00:00,17.694959302743577
2022-09-05 15:00:00,18.868739617372334
2022-09-05 16:00:00,20.336644867021107
2022-09-05 17:00:00,21.537960380317756
2022-09-05 18:00:00,22.47642489481308
2022-09-05 19:00:00,23.40957848671229
2022-09-05 20:00:00,23.993796244254185
2022-09-05 21:00:00,23.852263308108668
2022-09-05 22:00:00,23.736588131477717
2022-09-05 23:00:00,22.38849032876151
2022-09-06 00:00:00,20.465459562332644
2022-09-06 01:00:00,18.972734757222874
2022-09-06 02:00:00,17.636487061892296
2022-09-06 03:00:00,16.456875211941625
2022-09-06 04:00:00,16.03994324588513
2022-09-06 05:00:00,15.652325991540977
2022-09-06 06:00:00,15.437427276669776
2022-09-06 07:00:00,15.114712112279674
2022-09-06 08:00:00,15.041138424283096
2022-09-06 09:00:00,14.805809013242502
2022-09-06 10:00:00,14.831862083278274
2022-09-06 11:00:00,15.141169635863655
2022-09-06 12:00:00,15.97389045293016
