Feature,Importance
temp_KRHI0,0.053452054692370486
temp_KPBH0,0.04747793084622296
temp_KEGV0,0.04207483533987886
temp_KARV0,0.041318599941047945
temp_KCWI0,0.03805830071485135
temp_KCCY0,0.03761285440034122
temp_KRCX0,0.02824477658975319
temp_KMFI0,0.027612904366109376
temp_KMDZ0,0.027341543171885255
temp_72545,0.023955169269430813
temp_KMCW0,0.022212867599763278
temp_72644,0.021552529907536647
temp_KAIG0,0.020059026334031498
temp_72548,0.019434719294914676
temp_KVTI0,0.0185241323933235
temp_72645,0.01713354924941575
temp_72547,0.015268422439397087
temp_KUNU0,0.014732084530887141
temp_KFXY0,0.013661052679541458
temp_KEAU0,0.013360373134519635
temp_KEZS0,0.013286297942701303
temp_KIFA0,0.012897456016476566
temp_KAEL0,0.012534474827260582
temp_KMIW0,0.009973024121184228
temp_KPVB0,0.009556120741736382
temp_KY500,0.009475902955166544
temp_KTKV0,0.009269026243937443
temp_72643,0.008684716910113056
temp_KARR0,0.008584781550010618
temp_KOOA0,0.008575949224316898
temp_KOTM0,0.00827614435769799
temp_KAUM0,0.008080770359428733
temp_KAWG0,0.008037589557776717
temp_KCLI0,0.007989141796158282
temp_KAZO0,0.007931555469738194
temp_KCWA0,0.007930225052464792
temp_KFKA0,0.007745384560551406
temp_KLNR0,0.0075107197878742675
temp_KY510,0.007483411000865355
temp_KRRL0,0.007456224922474327
temp_KIMT0,0.007298703454000383
temp_KIOW0,0.007165523465280786
temp_KISW0,0.00682612876780181
temp_KACQ0,0.006705606421117641
temp_KRGK0,0.00668625742268405
temp_KDEH0,0.006644075922067118
temp_KSTE0,0.006565837448707837
temp_KCAD0,0.005850597849521435
temp_KFFX0,0.005711481036650417
temp_KRYV0,0.004577110062125487
temp_72443,0.0042622353387797825
temp_KDPA0,0.0038030056844773823
temp_KFLD0,0.0037424315032617748
temp_KCAV0,0.0036115755239234455
temp_KRQB0,0.002905785885932572
temp_KRPJ0,0.00275141094989803
temp_72543,0.0026301077762061285
temp_74455,0.00255580535738724
temp_KEBS0,0.0025343807355965816
temp_KPCZ0,0.002508564145904046
temp_72641,0.002435349330246461
