Feature,Importance
temp_71667,0.1655781007575437
temp_71962,0.12010759589824502
temp_KFGN0,0.11224345373398367
temp_CTGT0,0.08790241663606045
temp_71147,0.06561408886985468
temp_71849,0.06507968419440006
dwpt_71962,0.0592389179303458
dwpt_71667,0.05536189629279794
dwpt_KFGN0,0.052902343020966074
dwpt_71564,0.042286785836194
temp_71564,0.034540224028586954
dwpt_71147,0.031170353475487154
dwpt_71849,0.02345634326202807
dwpt_CTGT0,0.011503697042098662
rhum_CTGT0,0.008698101077866189
pres_71667,0.00714844594973756
pres_71273,0.006259739282533938
pres_71962,0.005728292764207289
pres_71564,0.005691061883916151
pres_71849,0.004963974602033758
dwpt_71273,0.0047304044660064866
temp_71273,0.004720867123661255
rhum_71667,0.004004162068450541
rhum_71849,0.003859763766944331
rhum_71273,0.0038380341062224203
rhum_71962,0.003684395807177042
rhum_71564,0.0035015651228441406
rhum_71147,0.003163427298814035
rhum_KFGN0,0.003021863700992563
