Feature,Importance
temp_KARV0,0.12915970426777593
temp_KFXY0,0.09082684442218225
temp_KMQB0,0.08424387077296895
temp_KTNU0,0.06473716230595244
temp_KAWG0,0.058975012249069744
temp_KGHW0,0.05143860175019457
temp_KTVC0,0.05015761725145445
temp_KGDB0,0.03527689865476217
temp_KFSW0,0.033160829470810074
temp_KMKT0,0.02900213139402977
temp_KMML0,0.028881421407834888
temp_KARB0_y,0.024272517199802803
temp_KFSE0,0.024155334269978946
temp_KMOP0,0.024154138100353516
temp_KTEW0,0.022970690099428172
temp_KTKC0,0.021962847581179803
dwpt_KFSW0,0.01990493506672032
temp_KMJQ0,0.018705114663133172
dwpt_KFSE0,0.015069556784533786
temp_KATY0,0.014802890003209286
temp_KGAF0,0.014494276741577257
dwpt_KGHW0,0.01107113464683334
dwpt_KGDB0,0.009451162408767512
dwpt_KMKT0,0.008609887526533737
dwpt_KTNU0,0.007958158445404073
dwpt_KMJQ0,0.007931638742300783
temp_KARB0_x,0.007225961239471762
dwpt_KMML0,0.006940959881975331
temp_KTYQ0,0.006236517766856294
temp_KTTF0,0.005060985406569256
dwpt_KFXY0,0.0036711976637093867
temp_KAOH0,0.0036359958213686436
pres_KATY0,0.0033642746200272084
temp_KMNN0,0.003037465404005864
pres_KMML0,0.0024295060488797593
temp_KUCP0,0.002036521888694167
pres_KUCP0,0.0019725173784564706
pres_KMKT0,0.0018059260301370433
pres_KTVC0,0.001736051235885541
pres_72420,0.001728026685845666
temp_72420,0.0017063618100540258
dwpt_KMQB0,0.0016387345712610074
pres_KARB0_x,0.0016367934533820132
pres_KARB0_y,0.0015415431996924258
dwpt_KGAF0,0.0015002023657934237
pres_KAOH0,0.0014514272618051352
pres_KMNN0,0.0014073994259165598
rhum_KARV0,0.0013957808916615245
dwpt_KTKC0,0.0013925011950841133
dwpt_KARV0,0.0013340509750669153
rhum_KTVC0,0.0011890192393147097
dwpt_KAWG0,0.0011628918369658923
dwpt_KATY0,0.0011566587022390125
dwpt_KTYQ0,0.0011354683646807365
rhum_KUCP0,0.0010848577212189308
dwpt_KUCP0,0.0010425402143490515
dwpt_KTVC0,0.001029514459395475
dwpt_KAOH0,0.00098822200160684
rhum_KTYQ0,0.0009744675065719564
dwpt_KMOP0,0.0009153306735358042
rhum_KGAF0,0.0009028604142773796
rhum_KMOP0,0.0008904894148455962
rhum_KTKC0,0.0008876350225307339
dwpt_72420,0.0008708811611817952
dwpt_KMNN0,0.0008662354845862002
rhum_KAOH0,0.0008640696550112171
rhum_72420,0.00085613478599596
rhum_KFSE0,0.0008442354921909829
rhum_KMQB0,0.0008231710014375686
rhum_KTEW0,0.0008159694362345162
rhum_KTTF0,0.000813185193564298
dwpt_KTEW0,0.0007910516196445662
rhum_KTNU0,0.0007908231130010724
rhum_KMML0,0.0007729612184027317
rhum_KGHW0,0.0007709174017995487
rhum_KMJQ0,0.0007699700096844049
rhum_KATY0,0.0007634484786763718
rhum_KFSW0,0.0007567379678731184
rhum_KARB0_x,0.0007496841783769021
rhum_KMNN0,0.0007481793589606215
rhum_KFXY0,0.0007458281564494162
rhum_KARB0_y,0.0007438940555756159
rhum_KGDB0,0.0007362644752417314
rhum_KAWG0,0.0007200933554573129
rhum_KMKT0,0.0007189848497133095
dwpt_KTTF0,0.0006874215599109536
dwpt_KARB0_y,0.0006852880463954933
dwpt_KARB0_x,0.0006735359247110142
