Feature,Importance
temp_KRHI0,0.05316895127441022
temp_KPBH0,0.047768443133024606
temp_KEGV0,0.04136393346424403
temp_KARV0,0.041204763580359245
temp_KCCY0,0.037832444135356864
temp_KCWI0,0.03594108808568244
temp_KRCX0,0.02819818707275711
temp_KMDZ0,0.027450435999723726
temp_KMFI0,0.027091821967657304
temp_72545,0.024841107611538432
temp_KMCW0,0.022143759435327242
temp_72644,0.021545936939436683
temp_KAIG0,0.020810312791291037
temp_72548,0.019265286468446448
temp_KVTI0,0.01881422293873699
temp_72645,0.015936846744723086
temp_KUNU0,0.015061136863446274
temp_72547,0.014488640571584508
temp_KFXY0,0.01364847875696489
temp_KEAU0,0.013343696126538046
temp_KEZS0,0.013225877235258985
temp_KIFA0,0.013100844606328004
temp_KAEL0,0.012555987668173334
temp_KPVB0,0.012446625600100536
temp_KMIW0,0.010590356252846551
temp_KDPA0,0.009202481325374734
temp_KOOA0,0.008983354679973148
temp_KTKV0,0.00870722473505262
temp_KCWA0,0.00868778254931523
temp_72643,0.008684208642525839
temp_KCLI0,0.00839274869098784
temp_KFLD0,0.008354179663738769
temp_KOTM0,0.008124815861400576
temp_KAUM0,0.007990631011739397
temp_KAWG0,0.007963509525715886
temp_KFKA0,0.0077380553791260515
temp_KY510,0.007626293564529348
temp_KIMT0,0.007499525705013045
temp_KY500,0.007473581934300043
temp_KAZO0,0.007408624472065112
temp_KIOW0,0.006801180806193907
temp_KDEH0,0.00672085773232446
temp_KRGK0,0.006678397952159395
temp_KISW0,0.00667046345967682
temp_KRRL0,0.0066609354361532175
temp_KACQ0,0.006656740767350353
temp_KLNR0,0.00665525750392917
temp_KSTE0,0.006647923971954479
temp_KFFX0,0.0056458741167390025
temp_KARR0,0.005305203802049174
temp_KRPJ0,0.0051721878090869285
temp_KCAD0,0.004920974638599085
temp_KRYV0,0.004343923625028291
temp_72013,0.0037906656196467618
temp_72443,0.0037206519243424877
temp_KACB0,0.002734231886117475
temp_KEBS0,0.0026185537055690147
temp_KCAV0,0.002572431013487715
temp_KTOB0,0.0023794015717364626
temp_KSQI0,0.0021783770616909393
temp_72635,0.0020901110699367057
temp_KSTP0,0.0019573856138208447
temp_74455,0.0016842468380475044
temp_KMGG0,0.0016628292360683892
temp_72542,0.0016378475834367683
temp_KAMW0,0.0016222498104434915
temp_72638,0.0015742884873122041
temp_72658,0.0015347872101712531
temp_KPCZ0,0.0015266433226064663
temp_72549,0.0014927363623021045
temp_KENW0,0.0014238721739839593
temp_KETB0,0.0013660859802936025
temp_KIIB0,0.0012939185552698987
temp_KRQB0,0.0012932644754681908
temp_KFFL0,0.001217753301362666
temp_KFEP0,0.0010711967623113306
temp_72535,0.0010587217618318184
temp_KBTL0,0.0010536810822329508
temp_KPEA0,0.001039224074261057
temp_KMRJ0,0.0010184615415560314
temp_KHZX0,0.0010061071074074115
temp_KMIC0,0.0009829980539836467
temp_KMBL0,0.0009669235452038007
temp_KTNU0,0.0009569293765146363
temp_KLOT0,0.0009503229936951874
temp_KDKB0,0.000948966054212623
temp_KPNM0,0.0008946696752867994
temp_KOVS0,0.0008906660340980265
temp_KGSH0,0.0008896179879407733
temp_72543,0.0008861661304586242
temp_KFSW0,0.0008699543027838161
temp_KEFT0,0.0008515964520388325
temp_KVYS0,0.0008343962315569243
temp_KGOV0,0.0008327828059227306
