Feature,Importance
temp_72644,0.0474148742280614
temp_KMCW0,0.04446075868901196
temp_KEGV0,0.03403698404259449
temp_KD250,0.03382750043982973
temp_KISW0,0.03320995161267634
temp_72545,0.030020253714608
temp_72643,0.027781697417904646
temp_KPBH0,0.02700626747560347
temp_72547,0.026734936794408606
temp_KRCX0,0.02661646554290372
temp_KCCY0,0.02577577222901336
temp_KTKV0,0.0247046643642537
temp_KCWI0,0.02376757504219535
temp_KPVB0,0.02335456670037541
temp_KAIG0,0.021542624485813466
temp_KRRL0,0.02000100969008266
temp_KIFA0,0.019507843974901136
temp_KVTI0,0.01772013008341382
temp_KUNU0,0.016427607247837636
temp_KCWA0,0.015985129118719316
temp_KFKA0,0.015353100841739575
temp_KDEH0,0.01521963998162696
temp_72543,0.015154357090033958
temp_KPCZ0,0.015001673600057561
temp_KMDZ0,0.013937396271304602
temp_KRYV0,0.013207098946446333
temp_72645,0.010892977589188536
temp_74455,0.009468926506937396
temp_KFEP0,0.008327591410108422
temp_KOVS0,0.00813427417336912
temp_KFXY0,0.00798470547269841
temp_KRHI0,0.00763902842084284
temp_KMFI0,0.0074284731471276
temp_KLNR0,0.0073846329238585464
temp_KAWG0,0.007257366970714022
temp_KIOW0,0.007145872387954721
temp_KARV0,0.00704059803271484
temp_KEFT0,0.007004849022333237
temp_KY500,0.0069264460041122975
temp_KARR0,0.006715709544011192
temp_KOSH0,0.006656094074552743
temp_KACQ0,0.00665285741714493
temp_KFLD0,0.006569542223131695
temp_KAEL0,0.0060335829892608425
temp_KFFX0,0.0058139288399318145
temp_KDPA0,0.00545333081238776
temp_72548,0.0049016696505634625
temp_KSQI0,0.004201960977637889
temp_KAUM0,0.003577740552326752
temp_72542,0.003576900418613904
temp_KCLI0,0.0035266786375049808
temp_KIIB0,0.0035014118487718382
temp_72443,0.0033088140356189997
temp_72013,0.003264011275112006
temp_KRPJ0,0.0029719103564087167
temp_KEBS0,0.002713405681788665
temp_KHZX0,0.0026831217134706863
temp_72641,0.0025677063979805915
temp_KOOA0,0.002487050483361844
temp_KIKV0,0.0023711166110771
temp_KIRS0,0.002344899946960499
temp_KCAD0,0.0022422397498724823
temp_KAZO0,0.002206213182491845
temp_KTNU0,0.002201904663110912
temp_KAMW0,0.0021835301235257716
temp_KMRJ0,0.0021170535936153247
temp_KACB0,0.0021112792221902534
temp_72549,0.0020853103495265756
temp_KHYR0,0.0020343400720269976
temp_72544,0.001832120324246854
temp_KY510,0.001670881076094478
temp_KOCQ0,0.0016372206451062202
temp_KMIW0,0.0016321455734680094
temp_KONA0,0.0015708395274268746
temp_72532,0.001546987393367241
temp_KRQB0,0.0014540873014656714
temp_KGOV0,0.0014172005830076048
temp_KCAV0,0.001382662982501539
temp_KETB0,0.0012697693613970779
temp_KI750,0.0012174345109605333
temp_KMQB0,0.001126810927871785
temp_KCKC0,0.0011216628922410938
temp_KLJF0,0.0010649118366450295
temp_KMBL0,0.0010037580075673612
temp_KPLN0,0.000978412412523281
temp_KLOT0,0.0009321982139574448
temp_72635,0.0009262710979940207
temp_KMIC0,0.0009228196340214026
temp_KFSW0,0.0009062455649690841
temp_KFFL0,0.0008743467663081721
temp_KOTM0,0.0008741025358434931
temp_KIMT0,0.0008483585883480283
temp_KGHW0,0.0008398638950152141
temp_72535,0.0008323570159557263
temp_KSTP0,0.000812626500016916
temp_KOXV0,0.0007874007167755496
temp_KBRD0,0.0007860220880416704
temp_KAXA0,0.0007804473422597072
temp_KIKW0,0.000762311357885796
temp_KFRM0,0.0007255944549088462
temp_KIRK0,0.0007196685219127283
temp_71435,0.0006828037125561884
temp_KLNL0,0.0006732723444499128
temp_72439,0.0006608668498257317
temp_KGSH0,0.000653518319931234
temp_KGGI0,0.0006304344720506026
temp_KMUT0,0.0005795944524163113
temp_KIWD0,0.0005792901716552825
temp_71748,0.0005252128813652387
temp_KBTL0,0.0004591737611449041
temp_71962,0.0004570130994648402
temp_KPDC0,0.0004549130952055059
temp_KCMI0,0.0004433613129896184
temp_72628,0.0004123292872216836
temp_KCIU0,0.00040115155003801777
temp_KGWB0,0.0004003212037636409
temp_KMKT0,0.0003917486702135294
temp_KRMY0,0.00039120178429243437
temp_72638,0.00037845177520272403
temp_KCDD0,0.0003763772699090507
temp_KHAI0,0.00036429622510370636
temp_KY700,0.0003631631370015025
temp_KPEA0,0.00035219221670631997
temp_KPRG0,0.00034359304007473195
temp_KMPZ0,0.0003393298292953302
temp_KCQM0,0.00033609723973197244
temp_KLVN0,0.0003323428041779279
temp_KSPW0,0.00032979896451678053
temp_KDKB0,0.00032659431775443755
temp_KORB0,0.00032500738662854525
temp_71750,0.0003243523812883996
temp_KPNT0,0.0003208112672473872
temp_KCNC0,0.0003115241516283249
temp_72014,0.0003112977859952456
temp_KFPK0,0.00030205415119807316
temp_KDNV0,0.00029026494310727
temp_CYSP0,0.00028398444048344815
temp_KOEB0,0.000277250346836981
temp_KBDE0,0.00027307191728550184
temp_71291,0.0002710025916020521
temp_KFSE0,0.0002697674087103624
temp_KMOP0,0.00026865068124520077
temp_KHIB0,0.0002571938527221832
temp_71749,0.0002522278529240457
temp_KBMI0,0.00023824716235093318
temp_KMZH0,0.00023689513962291714
temp_71738,0.00023592421841500246
temp_KADG0,0.00023329770013931107
temp_KAMN0,0.00022835155740485362
temp_KRRT0,0.00022432509676459565
temp_71449,0.00022120110210421297
temp_KGNA0,0.00022056029055794727
temp_KFYV0,0.0002199275264683248
temp_72755,0.00021887240992941623
temp_KBNW0,0.00021859233443657428
temp_KLWC0,0.0002183562650633468
temp_KPKD0,0.0002148492597144447
temp_KTAZ0,0.0002142575678704786
temp_KADU0,0.00021328497658446187
temp_71831,0.00020863412417895593
temp_KISQ0,0.00020795371245061576
temp_72744,0.00020769068166934062
temp_KENL0,0.00020662529477014112
temp_KCFE0,0.00020651303580726486
temp_KARB0_y,0.00020600894323516568
temp_71834,0.0002045278270629956
temp_KBIV0,0.0002031675450089213
temp_KFCM0,0.0002007641540536827
temp_KOXI0,0.0002004885973127235
temp_KSGS0,0.00019720510144238723
temp_71582,0.00019703088819305047
temp_KVBT0,0.00019382394664487683
temp_72747,0.0001937760828709147
temp_KFOZ0,0.0001921094035640947
temp_KVYS0,0.00019118157151453514
temp_KJXN0,0.00018994622754155797
temp_72658,0.000186935086784347
temp_CTGT0,0.00018507186229235458
prcp_CMGB0,0.00018500345504731053
temp_71832,0.00018465158526415794
temp_KMTO0,0.00017796556426944693
temp_KTQH0,0.00017725364587415428
temp_K3LF0,0.00017713495930462504
temp_KTWM0,0.00017331886030901787
temp_74467,0.00017115017417341835
temp_KGUS0,0.00016910605851035886
temp_KRHP0,0.00016599902401325878
temp_72328,0.00016540907338563865
temp_72734,0.00016500743098411417
temp_71667,0.0001649955939281509
temp_KRZL0,0.00016443561884501963
temp_72449,0.00016230923048278238
wdir_KGHW0,0.00016226569645261577
temp_KASW0,0.00016105365018709322
temp_KMVN0,0.00015866472106537704
temp_KIJX0,0.00015865217765969518
temp_KDEC0,0.00015851380977331342
temp_KSRB0,0.00015771381392338363
temp_71260,0.00015746538627171874
temp_72034,0.00015717687497654966
temp_72745,0.00015701725292769934
temp_KELO0,0.00015477537862970106
temp_KEVM0,0.00015456426796826188
temp_72637,0.0001540234822602351
prcp_KBIE0,0.00015314954474502106
temp_KGLY0,0.00015267862266657664
temp_71849,0.00015056354907837588
temp_72456,0.00015030345679330583
temp_72432,0.00014724911903280283
temp_KGGP0,0.00014545961168859392
temp_71151,0.00014475270249728804
temp_KGPZ0,0.00014095600721954064
temp_71739,0.00013893642263109357
temp_71559,0.0001384109365797208
temp_72743,0.0001382680659302558
temp_72433,0.00013610764428393347
temp_KDTL0,0.0001347982363428545
temp_KASX0,0.0001308799891424939
temp_KMGN0,0.0001304180160934229
temp_KOWB0,0.00013023710174879302
wdir_KISQ0,0.00012870227352773552
